code,trade_date,open,high,low,close,volume,amount,turn,pe_ttm
sh.600098,2026-06-30,6.01,6.02,5.88,5.91,17123000,101301983.0,0.4884,8.624024
sh.600099,2026-06-29,8.12,8.18,7.79,8.13,4811460,38592453.2,2.1958,70.633605
sh.600099,2026-06-30,8.17,8.23,7.9,7.98,3211437,25809790.56,1.4656,69.330402
sh.600100,2026-06-29,6.52,6.58,6.34,6.53,34389438,222745362.9,1.0265,65.995942
sh.600100,2026-06-30,6.59,7.03,6.55,6.85,45069406,306628330.16,1.3452,69.230046
sh.600101,2026-06-29,7.88,8.06,7.72,7.96,12363119,97758991.74,2.2566,23.666139
sh.600101,2026-06-30,7.95,8.02,7.82,7.89,11126259,87687616.9,2.0308,23.458019
sh.600103,2026-06-29,3.09,3.1,2.97,3.02,93239420,280508953.7,4.2145,172.810621
sh.600103,2026-06-30,3.02,3.11,2.96,3.07,92919946,285026335.13,4.2001,175.671724
sh.600104,2026-06-29,9.66,9.88,9.44,9.82,77127895,748338762.4,0.671,11.167062
sh.600104,2026-06-30,9.76,9.85,9.62,9.76,54858740,533012904.75,0.4772,11.098831
sh.600105,2026-06-29,66.76,67.38,59.99,63.1,127847024,8086370496.07,8.7447,898.334767
sh.600105,2026-06-30,63.81,67.9,61.96,67.48,107133337,7025450929.0,7.3279,960.691443
sh.600106,2026-06-29,4.62,4.7,4.5,4.65,14934255,68973877.42,1.1237,72.58244
sh.600106,2026-06-30,4.63,4.77,4.55,4.58,14506761,67242982.22,1.0915,71.489801
sh.600108,2026-06-29,3.11,3.15,2.98,3.07,85805173,262564695.59,4.4072,112.102236
sh.600108,2026-06-30,3.05,3.05,2.92,2.96,84002091,249419907.21,4.3146,108.085544
sh.600109,2026-06-29,8.68,8.88,8.65,8.72,38458339,336517982.21,1.0379,13.538496
sh.600109,2026-06-30,8.68,8.88,8.66,8.78,34405908,302204231.78,0.9285,13.631651
sh.600110,2026-06-29,15.0,16.08,14.4,14.73,194758980,2921913788.5,11.2241,-115.786819
sh.600110,2026-06-30,14.66,15.2,14.42,15.09,163486159,2431489626.22,9.4219,-118.616639
