=== 年度汇总 ===
年份,笔数,胜率%,累计盈亏,平均%,最佳%,最差%
2022,15,60,"16,652",0.7%,9.2%,-17.6%
2023,33,64,"75,695",1.1%,25.1%,-10.1%
2024,37,57,"381,920",4.6%,154.0%,-13.1%
2025,40,82,"460,851",3.5%,15.7%,-2.4%
2026,30,60,"363,386",3.0%,32.5%,-6.6%

=== 交易明细 ===
买入日,卖出日,ETF名称,代码,买入价,卖出价,盈亏%,盈亏额,持天,买入原因,卖出原因
2024-08-29,2024-09-12,银行ETF华宝,sh512800,1.282,1.197,-6.6%,"-15,224",14,ETF Alpha(缩量新高 corr=-0.69 | 波动放大1.2x | 距20日高-4.3% | 5日-3.0%),"量价同步(散户涌入 corr=0.59,盈-6.6%)"
2024-09-18,2024-09-24,红利ETF华泰柏瑞,sh510880,2.878,3.039,5.6%,"11,994",6,ETF Alpha(缩量新高 corr=-0.71 | 波动放大1.3x | 距20日高-8.1% | 5日-0.8%),"量价同步(散户涌入 corr=0.65,盈5.6%)"
2024-09-18,2024-09-24,红利低波ETF华泰柏瑞,sh512890,0.962,1.015,5.5%,"11,819",6,ETF Alpha(缩量新高 corr=-0.62 | 波动放大1.3x | 距20日高-8.2% | 5日-0.4%),"量价同步(散户涌入 corr=0.82,盈5.5%)"
2024-11-08,2024-11-25,黄金ETF华安,sh518880,5.898,5.916,0.3%,904,17,ETF Alpha(缩量新高 corr=-0.47 | 波动放大1.4x | 距20日高-4.0% | 5日-2.5%),"量价同步(散户涌入 corr=0.53,盈0.3%)"
2024-11-15,2024-12-04,金ETF广发,sh518600,5.613,5.844,4.1%,"12,197",19,ETF Alpha(缩量新高 corr=-0.34 | 波动放大1.4x | 距20日高-7.2% | 5日-3.4%),"量价同步(散户涌入 corr=0.59,盈4.1%)"
2024-11-15,2024-11-28,机器人ETF华夏,sh562500,0.768,0.746,-2.9%,"-8,499",13,ETF Alpha(缩量新高 corr=-0.29 | 波动放大1.2x | 距20日高-8.6% | 5日-2.5%),"量价同步(散户涌入 corr=0.65,盈-2.9%)"
2024-11-15,2024-12-16,豆粕ETF华夏,sz159985,1.908,1.798,-5.8%,"-17,105",31,ETF Alpha(缩量新高 corr=-0.55 | 波动放大1.2x | 距20日高-4.1% | 5日-1.3%),"量价同步(散户涌入 corr=0.76,盈-5.8%)"
2024-11-20,2024-12-03,黄金ETF博时,sz159937,5.854,5.929,1.3%,"3,802",13,ETF Alpha(缩量新高 corr=-0.66 | 波动放大1.6x | 距20日高-4.6% | 5日1.0%),"量价同步(散户涌入 corr=0.53,盈1.3%)"
2025-01-23,2025-03-05,红利低波ETF华泰柏瑞,sh512890,1.078,1.091,1.2%,"3,556",41,ETF Alpha(缩量新高 corr=-0.79 | 波动放大1.2x | 距20日高-5.2% | 5日-0.8%),"量价同步(散户涌入 corr=0.50,盈1.2%)"
2025-02-18,2025-02-21,科创50ETF华夏,sh588000,1.066,1.157,8.5%,"25,171",3,ETF Alpha(缩量新高 corr=-0.50 | 波动放大1.3x | 距20日高-3.1% | 5日-1.3%),"量价同步(散户涌入 corr=0.92,盈8.5%)"
