趋势跟随策略 交易流水 — 共 388 笔
============================================================================================================================================
买入日        卖出日        代码           名称           买价     卖价     盈亏%   持有天  买入理由  卖出理由
--------------------------------------------------------------------------------------------------------------------------------------------
2023-07-19 2023-08-08 sh.600096    云天化       18.27  18.20   -0.38      趋势跟随(5日5.4% 20日4.9% | 量比1.4x 涨跌量比2.3x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-07-20 2023-08-09 sz.001337    四川黄金      35.95  32.62   -9.26      趋势跟随(5日8.5% 20日6.4% | 量比1.4x 涨跌量比2.0x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-07-25 2023-08-03 sh.600266    城建发展       6.11   7.68   25.70      趋势跟随(5日6.5% 20日10.1% | 量比1.3x 涨跌量比1.8x | 连涨2天 | 市态NEUTRAL)  止盈(25.7%)
2023-07-25 2023-08-14 sz.002984    森麒麟       35.28  34.30   -2.78      趋势跟随(5日11.2% 20日14.5% | 量比1.7x 涨跌量比2.7x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-08-03 2023-08-23 sz.002131    利欧股份       2.39   2.28   -4.60      趋势跟随(5日6.1% 20日6.6% | 量比1.5x 涨跌量比2.2x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-08-03 2023-08-23 sz.301039    中集车辆      14.12  12.71   -9.99      趋势跟随(5日7.4% 20日5.6% | 量比1.3x 涨跌量比2.3x | 连涨4天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-08-08 2023-08-28 sz.000034    神州数码      27.48  28.94    5.31      趋势跟随(5日9.7% 20日0.2% | 量比1.3x 涨跌量比2.1x | 连涨2天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-08-09 2023-08-16 sz.300638    广和通       22.32  19.39  -13.13      趋势跟随(5日8.1% 20日-4.1% | 量比1.3x 涨跌量比1.2x | 连涨1天 | 市态NEUTRAL)  止损(-13.1%)
2023-08-14 2023-08-24 sz.002279    久其软件       7.55   7.55    0.00      趋势跟随(5日7.8% 20日7.6% | 量比1.8x 涨跌量比2.3x | 连涨3天 | 市态NEUTRAL)  单日暴跌(-9.7%)
2023-08-16 2023-09-05 sh.600566    济川药业      26.66  25.94   -2.70      趋势跟随(5日10.2% 20日0.6% | 量比1.5x 涨跌量比1.6x | 连涨4天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-08-23 2023-09-12 sh.600415    小商品城       8.56   9.80   14.49      趋势跟随(5日2.5% 20日4.6% | 量比1.4x 涨跌量比1.8x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-08-23 2023-08-24 sz.000032    深桑达A      30.94  27.85   -9.99      趋势跟随(5日9.6% 20日4.7% | 量比1.4x 涨跌量比2.1x | 连涨2天 | 市态NEUTRAL)  单日暴跌(-10.0%)
2023-08-24 2023-09-13 sh.600328    中盐化工       9.86   8.87  -10.04      趋势跟随(5日8.9% 20日2.6% | 量比1.9x 涨跌量比3.2x | 连涨3天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-08-24 2023-09-13 sh.600633    浙数文化      16.79  15.03  -10.48      趋势跟随(5日9.1% 20日19.7% | 量比1.7x 涨跌量比2.5x | 连涨2天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-08-28 2023-09-15 sz.002049    紫光国微      93.00  89.07   -4.23      趋势跟随(5日4.2% 20日2.1% | 量比1.5x 涨跌量比2.0x | 连涨2天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-09-05 2023-09-25 sh.600031    三一重工      16.99  16.10   -5.24      趋势跟随(5日9.6% 20日-1.8% | 量比1.5x 涨跌量比1.9x | 连涨3天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-09-12 2023-10-10 sh.600879    航天电子       7.84   7.52   -4.08      趋势跟随(5日4.4% 20日5.5% | 量比1.4x 涨跌量比1.9x | 连涨2天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
