concept_code,trade_date,open,high,low,close,volume,amount
304756,2026-07-06,1245.72,1249.436,1217.055,1217.638,448846110,3081951700.0
300374,2026-07-06,1763.901,1777.208,1740.686,1747.468,5099387000,62824010000.0
300723,2026-07-06,2368.148,2385.418,2297.099,2323.038,2618475400,59801759000.0
308612,2026-07-06,2824.668,2828.065,2713.462,2744.916,3303201500,146134890000.0
308717,2026-07-06,1088.084,1095.435,1078.371,1082.311,5435996000,34634150000.0
302182,2026-07-06,1109.371,1117.519,1094.199,1095.378,6150562200,61015145000.0
300836,2026-07-06,1072.068,1080.794,1065.363,1067.195,11482185800,142480260000.0
309004,2026-07-06,3339.341,3361.779,3167.285,3242.758,10872827800,453102390000.0
308636,2026-07-06,2059.355,2084.655,2042.971,2048.281,1710293600,29713722000.0
308384,2026-07-06,3625.427,3634.276,3473.069,3515.802,15685486000,556024610000.0
300809,2026-07-06,3776.595,3835.631,3686.576,3688.327,10419640200,208802510000.0
301278,2026-07-06,2283.291,2286.719,2209.8,2231.006,16331473000,483489660000.0
309106,2026-07-06,1698.343,1703.527,1661.734,1664.872,2697342100,116491816000.0
301543,2026-07-06,1114.925,1156.529,1112.583,1131.569,1834651200,41837288000.0
309020,2026-07-06,1938.948,1943.962,1883.011,1898.557,6096615200,178406630000.0
309086,2026-07-06,1447.114,1449.621,1400.002,1423.257,1494462400,35835201000.0
300870,2026-07-06,15200.29,15214.427,14843.091,14845.236,1113885850,59034704000.0
300386,2026-07-06,952.948,957.943,940.389,942.756,4376538500,41448678000.0
300008,2026-07-06,5031.174,5049.776,4903.748,4916.08,31423012000,840338770000.0
301085,2026-07-06,5747.774,5762.647,5501.862,5586.924,32547798000,1406499000000.0
301377,2026-07-06,1063.287,1071.417,1056.325,1062.681,570090410,3855174500.0
300756,2026-07-06,5232.716,5244.09,5082.808,5130.131,4742914200,119500678000.0
300841,2026-07-06,1229.071,1239.082,1212.094,1216.343,5570673700,37015630000.0
309089,2026-07-06,1838.842,1841.513,1776.15,1785.828,5860308600,190782740000.0
301362,2026-07-06,2187.038,2198.96,2118.316,2131.014,1063865790,40177095000.0
300382,2026-07-06,3996.383,4020.277,3848.154,3849.948,3418921200,73001679000.0
309042,2026-07-06,1658.804,1675.163,1646.724,1648.653,499628960,9494999900.0
308761,2026-07-06,1538.595,1547.183,1505.099,1506.291,7934688300,97226327000.0
308794,2026-07-06,1302.988,1315.056,1280.677,1280.677,5153293700,71429576000.0
301699,2026-07-06,1042.415,1044.607,1011.193,1017.212,14219730000,246354590000.0
308733,2026-07-06,1200.991,1208.737,1178.614,1178.632,775265920,24482794000.0
308560,2026-07-06,1516.91,1526.667,1490.838,1493.58,512228720,6979984300.0
301576,2026-07-06,1126.613,1149.726,1116.713,1149.059,643440040,6834247700.0
301494,2026-07-06,2012.436,2030.57,1994.755,1997.222,4948109200,55448782000.0
301546,2026-07-06,3071.346,3081.482,3035.494,3041.042,16285632000,283556240000.0
307904,2026-07-06,1934.525,1963.19,1906.801,1907.823,1904329800,52516790000.0
301252,2026-07-06,1720.324,1755.937,1713.389,1729.452,1343711000,35578119000.0
309061,2026-07-06,2460.302,2495.38,2407.204,2430.634,8977992600,368124020000.0
300402,2026-07-06,2630.698,2648.721,2594.627,2597.483,1894903500,23727463000.0
301365,2026-07-06,2355.939,2367.195,2319.309,2319.9,22977523000,393268570000.0
300188,2026-07-06,2159.358,2164.317,2106.349,2114.047,1533474600,31883536000.0
308712,2026-07-06,1240.99,1256.218,1236.124,1244.392,1738120200,31787363000.0
309065,2026-07-06,1972.748,1974.076,1898.255,1923.874,2943288500,137949840000.0
308984,2026-07-06,1318.834,1322.172,1292.391,1293.934,1492204500,34675432000.0
301505,2026-07-06,3038.693,3062.846,3006.863,3007.549,11664771000,218887860000.0
301279,2026-07-06,2287.46,2320.261,2244.053,2245.379,1440093900,32278989000.0
308818,2026-07-06,993.902,1014.369,989.553,1000.669,1430122700,20227818000.0
308752,2026-07-06,1829.567,1838.719,1785.751,1789.803,6426183400,106887344000.0
301491,2026-07-06,2694.033,2708.282,2638.569,2647.483,13830706000,342516410000.0
301572,2026-07-06,2087.678,2118.689,2086.314,2099.485,640317670,4257943800.0
